Plant_ID,Plant_Name,Disease_Name,Disease_Type,Symptoms,Severity_Level,Recommended_Treatment,Affected_Region
1,Tomato,Root Rot,Fungal,Yellow leaves,High,Fungicide,North America
2,Rice,Powdery Mildew,Fungal,Stem cracks,Low,Chemical Spray,North America
3,Wheat,Mosaic Virus,Viral,Yellow leaves,High,Organic Pesticide,Africa
4,Corn,Wilt,Bacterial,White patches,High,Chemical Spray,Asia
5,Potato,Bacterial Canker,Bacterial,Brown spots,Low,Organic Pesticide,North America
6,Soybean,Wilt,Fungal,Brown spots,Medium,Fungicide,Europe
7,Cotton,Bacterial Canker,Nutrient Deficiency,Stem cracks,Medium,Neem Oil,North America
8,Sugarcane,Mosaic Virus,Nutrient Deficiency,Yellow leaves,Medium,Fungicide,Asia
9,Barley,Bacterial Canker,Fungal,Stem cracks,Low,Chemical Spray,Africa
10,Oats,Leaf Spot,Fungal,Leaf curling,Medium,Chemical Spray,Asia
11,Sunflower,Root Rot,Nutrient Deficiency,White patches,High,Crop Rotation,Europe
12,Chili,Root Rot,Viral,Leaf curling,Medium,Neem Oil,South America
13,Onion,Wilt,Fungal,Yellow leaves,Medium,Crop Rotation,Europe
14,Garlic,Leaf Spot,Viral,Brown spots,Medium,Chemical Spray,North America
15,Pea,Mosaic Virus,Nutrient Deficiency,Leaf curling,Medium,Fungicide,Asia
16,Lentil,Bacterial Canker,Viral,Leaf curling,High,Chemical Spray,South America
17,Mustard,Bacterial Canker,Viral,Yellow leaves,Low,Crop Rotation,North America
18,Cabbage,Rust,Viral,White patches,Low,Neem Oil,Africa
19,Cauliflower,Blight,Bacterial,White patches,High,Fungicide,Europe
20,Spinach,Bacterial Canker,Nutrient Deficiency,Leaf curling,Low,Crop Rotation,South America
21,Banana,Rust,Nutrient Deficiency,White patches,High,Fungicide,North America
22,Apple,Mosaic Virus,Viral,Leaf curling,High,Fungicide,Africa
23,Grapes,Powdery Mildew,Fungal,Yellow leaves,Medium,Chemical Spray,Asia
24,Mango,Leaf Spot,Nutrient Deficiency,White patches,High,Fungicide,North America
25,Papaya,Rust,Bacterial,Brown spots,Low,Fungicide,Asia
26,Pomegranate,Mosaic Virus,Viral,Stem cracks,High,Chemical Spray,North America
27,Orange,Rust,Nutrient Deficiency,Leaf curling,Low,Neem Oil,Europe
28,Lemon,Wilt,Fungal,Brown spots,Low,Organic Pesticide,North America
29,Strawberry,Wilt,Viral,White patches,Medium,Fungicide,South America
30,Pumpkin,Leaf Spot,Nutrient Deficiency,White patches,High,Chemical Spray,North America
31,Carrot,Powdery Mildew,Viral,Brown spots,Medium,Neem Oil,South America
32,Beetroot,Bacterial Canker,Bacterial,Yellow leaves,High,Crop Rotation,North America
33,Radish,Blight,Nutrient Deficiency,White patches,High,Neem Oil,Africa
34,Brinjal,Rust,Fungal,Stem cracks,High,Chemical Spray,North America
35,Okra,Bacterial Canker,Viral,Yellow leaves,Low,Chemical Spray,South America
36,Pepper,Rust,Nutrient Deficiency,Leaf curling,Low,Chemical Spray,Africa
37,Tea,Bacterial Canker,Fungal,Stem cracks,Medium,Organic Pesticide,Europe
38,Coffee,Mosaic Virus,Fungal,Brown spots,Medium,Fungicide,Europe
39,Cocoa,Mosaic Virus,Viral,Stem cracks,Low,Neem Oil,Africa
40,Jute,Blight,Nutrient Deficiency,Stem cracks,Low,Fungicide,North America
41,Groundnut,Root Rot,Bacterial,Stem cracks,Low,Chemical Spray,Europe
42,Millet,Root Rot,Bacterial,Leaf curling,Medium,Organic Pesticide,Asia
43,Sorghum,Mosaic Virus,Bacterial,Yellow leaves,High,Chemical Spray,North America
44,Cassava,Powdery Mildew,Bacterial,Stem cracks,Medium,Chemical Spray,South America
45,Yam,Mosaic Virus,Fungal,Leaf curling,High,Organic Pesticide,Africa
46,Turmeric,Root Rot,Fungal,Brown spots,Medium,Neem Oil,Asia
47,Ginger,Wilt,Nutrient Deficiency,Brown spots,Low,Organic Pesticide,North America
48,Cucumber,Root Rot,Nutrient Deficiency,Yellow leaves,High,Organic Pesticide,North America
49,Watermelon,Mosaic Virus,Viral,Yellow leaves,High,Fungicide,South America
50,Sweet Potato,Bacterial Canker,Bacterial,Brown spots,Medium,Neem Oil,North America
